Mes,Subject1,Subject2,Subject3
01/01/2004,12,18,4
01/02/2004,12,21,2
01/03/2004,9,21,2
01/04/2004,10,16,4
01/05/2004,7,14,3
01/06/2004,9,17,3
01/07/2004,9,16,3
01/08/2004,7,14,3
01/09/2004,10,17,4
01/10/2004,8,17,4
01/11/2004,8,15,2
01/12/2004,8,16,2
01/01/2005,10,16,2
01/02/2005,9,14,3
01/03/2005,8,13,2
01/04/2005,8,12,3
01/05/2005,8,15,3
01/06/2005,8,12,3
01/07/2005,6,11,2
01/08/2005,9,10,2
01/09/2005,7,14,2
01/10/2005,7,16,3
01/11/2005,7,13,4
01/12/2005,5,13,2
01/01/2006,7,12,3
01/02/2006,7,12,3
01/03/2006,7,12,2
01/04/2006,7,12,2
01/05/2006,7,11,2
01/06/2006,6,10,2
01/07/2006,5,9,1
01/08/2006,6,9,2
01/09/2006,7,11,1
01/10/2006,6,11,2
01/11/2006,7,11,2
01/12/2006,4,9,3
01/01/2007,6,11,2
01/02/2007,7,11,3
01/03/2007,6,9,3
01/04/2007,5,10,3
01/05/2007,6,9,1
01/06/2007,6,9,2
01/07/2007,4,9,2
01/08/2007,5,9,3
01/09/2007,6,9,2
01/10/2007,6,11,2
01/11/2007,6,10,2
01/12/2007,5,8,3
01/01/2008,6,9,2
01/02/2008,6,9,2
01/03/2008,5,8,3
01/04/2008,6,10,2
01/05/2008,5,9,2
01/06/2008,5,8,2
01/07/2008,5,7,3
01/08/2008,5,7,1
01/09/2008,6,9,2
01/10/2008,6,10,2
01/11/2008,6,9,2
01/12/2008,5,8,2
01/01/2009,6,8,3
01/02/2009,6,9,3
01/03/2009,6,8,2
01/04/2009,6,9,3
01/05/2009,5,8,2
01/06/2009,5,8,2
01/07/2009,4,8,2
01/08/2009,5,8,2
01/09/2009,7,8,3
01/10/2009,6,9,2
01/11/2009,7,9,2
01/12/2009,6,8,2
01/01/2010,7,8,2
01/02/2010,7,9,2
01/03/2010,6,9,2
01/04/2010,6,9,2
01/05/2010,6,8,2
01/06/2010,5,8,2
01/07/2010,5,8,3
01/08/2010,5,8,2
01/09/2010,7,9,2
01/10/2010,6,9,3
01/11/2010,6,9,3
01/12/2010,5,9,2
01/01/2011,7,8,3
01/02/2011,6,9,2
01/03/2011,6,9,3
01/04/2011,6,9,2
01/05/2011,5,9,3
01/06/2011,5,8,2
01/07/2011,4,7,2
01/08/2011,5,8,2
01/09/2011,7,11,3
01/10/2011,7,12,3
01/11/2011,7,12,3
01/12/2011,6,10,2
01/01/2012,7,10,3
01/02/2012,7,11,3
01/03/2012,7,11,2
01/04/2012,6,11,3
01/05/2012,6,11,4
01/06/2012,6,10,3
01/07/2012,6,10,3
01/08/2012,7,10,3
01/09/2012,10,12,3
01/10/2012,8,13,4
01/11/2012,8,12,6
01/12/2012,6,11,4
01/01/2013,8,11,5
01/02/2013,8,12,4
01/03/2013,8,12,5
01/04/2013,9,13,6
01/05/2013,9,13,7
01/06/2013,8,12,5
01/07/2013,8,12,6
01/08/2013,9,11,6
01/09/2013,12,13,8
01/10/2013,11,16,7
01/11/2013,11,15,8
01/12/2013,10,14,8
01/01/2014,13,14,9
01/02/2014,12,16,10
01/03/2014,13,16,10
01/04/2014,13,17,10
01/05/2014,12,16,11
01/06/2014,12,15,10
01/07/2014,13,16,9
01/08/2014,16,16,11
01/09/2014,19,18,12
01/10/2014,17,18,12
01/11/2014,17,20,11
01/12/2014,16,18,17
01/01/2015,19,20,19
01/02/2015,18,21,20
01/03/2015,18,21,21
01/04/2015,20,24,19
01/05/2015,19,22,20
01/06/2015,20,24,23
01/07/2015,20,24,23
01/08/2015,23,23,22
01/09/2015,27,26,24
01/10/2015,25,27,24
01/11/2015,24,30,28
01/12/2015,22,28,28
01/01/2016,27,28,34
01/02/2016,27,32,34
01/03/2016,26,34,44
01/04/2016,27,34,44
01/05/2016,27,34,42
01/06/2016,27,36,46
01/07/2016,26,32,40
01/08/2016,29,34,41
01/09/2016,36,39,46
01/10/2016,33,42,52
01/11/2016,34,46,55
01/12/2016,33,46,59
01/01/2017,41,51,65
01/02/2017,42,56,69
01/03/2017,44,59,75
01/04/2017,42,61,76
01/05/2017,43,63,80
01/06/2017,43,65,78
01/07/2017,42,62,76
01/08/2017,47,64,84
01/09/2017,53,71,87
01/10/2017,53,75,89
01/11/2017,52,80,94
01/12/2017,48,72,91
01/01/2018,58,76,91
01/02/2018,57,80,93
01/03/2018,58,82,95
01/04/2018,58,82,95
01/05/2018,59,83,98
01/06/2018,57,81,90
01/07/2018,60,81,88
01/08/2018,64,82,87
01/09/2018,68,85,94
01/10/2018,70,90,97
01/11/2018,67,88,94
01/12/2018,61,81,87
01/01/2019,76,86,93
01/02/2019,77,93,95
01/03/2019,75,91,98
01/04/2019,77,92,98
01/05/2019,76,92,97
01/06/2019,80,93,96
01/07/2019,85,92,96
01/08/2019,88,93,92
01/09/2019,95,100,100
01/10/2019,90,98,98
01/11/2019,87,97,96
01/12/2019,81,89,91
01/01/2020,94,94,93
01/02/2020,100,99,99
